RefDes     X          Y          Rot.       Exact     (FREE)    Side
C100       2635.0000  1145.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C101       1738.3026  2380.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C102       5490.0000  920.0000   180        EXACT     (FREE)    L1_TOP_SIDE                   
C103       1836.0026  2380.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C104       2610.0026  511.0002   000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C106       3245.0026  2372.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C107       3890.0026  2795.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C108       1615.0026  3402.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C109       2066.0026  3477.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C110       2576.0026  3314.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C111       2905.0026  2382.0002  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C112       2161.0026  3428.0002  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C113       2635.0000  1310.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C114       2318.0026  3419.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C115       1820.3026  3210.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C116       3170.0026  905.0002   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C117       3142.0026  2378.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C118       2827.0026  2382.0002  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C119       2725.0026  4140.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C120       2725.0026  4050.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C121       1738.1026  3449.6002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C122       1836.2026  3449.6002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C123       2449.0026  3468.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C124       2735.0026  3890.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C125       5345.0026  2215.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C126       2395.0026  3570.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C127       2432.0026  3425.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C128       2033.0026  1790.0002  270        EXACT     (FREE)    L1_TOP_SIDE                   
C129       3227.0026  3345.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C130       2563.0026  1792.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C131       3425.0026  2539.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C132       2903.0026  3341.0002  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C133       418.4026   2863.8002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C134       1075.0026  4575.0009  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C135       2126.0026  1773.0002  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C136       4295.0026  595.0002   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C137       3142.0026  3343.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C138       2825.0026  3340.0002  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C139       3170.0026  1100.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C140       2245.0026  3570.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C141       3266.0026  2205.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C142       3425.0026  2969.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C143       4295.0026  2365.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C144       2210.0026  3600.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C145       2592.0026  3434.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C146       4110.0026  1815.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C147       3266.0026  2205.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C148       4107.0026  2412.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C149       4295.0026  2715.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C150       3252.0026  2635.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C151       2270.0000  2467.0000  090        EXACT     (FREE)    L1_TOP_SIDE                   
C152       2222.0026  2497.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C153       2311.0000  1751.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C154       1820.3026  1620.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C155       418.4026   2773.5002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C156       1738.3026  1870.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C157       1836.0026  1870.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C158       3195.0026  1780.5002  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C159       2905.0026  1863.0002  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C160       1075.0026  4475.0009  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C161       1615.0026  2879.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C162       2066.0026  2886.0002  270        EXACT     (FREE)    L1_TOP_SIDE                   
C163       2576.0026  2868.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C164       3144.0026  1858.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C165       2827.0026  1864.0002  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C166       3425.0026  2309.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C167       3265.0026  2512.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C168       1725.0000  4585.0000  180        EXACT     (FREE)    L1_TOP_SIDE                   
C169       1725.0000  4665.0000  180        EXACT     (FREE)    L1_TOP_SIDE                   
C170       3525.0026  2849.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C171       2168.0026  2830.0002  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C172       3525.0026  2939.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C174       2315.0026  2812.0002  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C175       1820.3026  2670.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
