RefDes     X          Y          Rot.       Exact     (FREE)    Side
D21        950.0000   1000.0000  270        EXACT     (FREE)    Top                           
D22        870.0000   1870.0000  270        EXACT     (FREE)    Top                           
D23        175.0000   2790.0000  090        EXACT     (FREE)    Top                           
D24        950.0000   1210.0000  270        EXACT     (FREE)    Top                           
F1         10310.0000 5110.0000  090        EXACT     (FREE)    Bottom                        
F2         10420.0000 1790.0000  270        EXACT     (FREE)    Bottom                        
FB1        5460.0000  4490.0000  180        EXACT     (FREE)    Bottom                        
FB2        5490.0000  4320.0000  000        EXACT     (FREE)    Bottom                        
FB3        10010.0000 5340.0000  270        EXACT     (FREE)    Bottom                        
FB4        8720.0000  5170.0000  180        EXACT     (FREE)    Bottom                        
FB5        8730.0000  4560.0000  180        EXACT     (FREE)    Bottom                        
FB6        8730.0000  4040.0000  180        EXACT     (FREE)    Bottom                        
FB7        8730.0000  3410.0000  180        EXACT     (FREE)    Bottom                        
FB8        8730.0000  2800.0000  180        EXACT     (FREE)    Bottom                        
FB9        8730.0000  2210.0000  180        EXACT     (FREE)    Bottom                        
FB10       8730.0000  1620.0000  180        EXACT     (FREE)    Bottom                        
FB11       8730.0000  1020.0000  180        EXACT     (FREE)    Bottom                        
FB12       9670.0000  430.0000   090        EXACT     (FREE)    Bottom                        
FB13       4690.0000  1550.0000  090        EXACT     (FREE)    Bottom                        
FB14       4550.0000  1370.0000  000        EXACT     (FREE)    Bottom                        
FB15       5150.0000  2960.0000  270        EXACT     (FREE)    Bottom                        
FB16       320.0000   2120.0000  180        EXACT     (FREE)    Top                           
FB17       10170.0000 4400.0000  180        EXACT     (FREE)    Top                           
FB18       10525.0000 125.0000   090        EXACT     (FREE)    Bottom                        
FID1       10710.0000 410.0000   000        EXACT     (FREE)    Top                           
FID2       215.0000   5090.0000  000        EXACT     (FREE)    Top                           
J1         10735.0000 4815.0000  000        EXACT     (FREE)    Top                           
J3         4450.0000  5410.0000  180        EXACT     (FREE)    Top                           
J4         3680.0000  2660.0000  180        EXACT     (FREE)    Top                           
J6         350.0000   1591.0000  270        EXACT     (FREE)    Top                           
J7         350.0000   919.0000   270        EXACT     (FREE)    Top                           
M1         250.0000   250.0000   000        EXACT     (FREE)    Top                           
M2         250.0000   5440.0000  000        EXACT     (FREE)    Top                           
M3         10325.0000 5400.0000  000        EXACT     (FREE)    Top                           
R1         1050.0000  1830.0000  180        EXACT     (FREE)    Top                           
R2         830.0000   2070.0000  180        EXACT     (FREE)    Top                           
R3         1120.0000  1220.0000  270        EXACT     (FREE)    Bottom                        
R4         940.0000   1250.0000  000        EXACT     (FREE)    Bottom                        
R5         870.0000   740.0000   000        EXACT     (FREE)    Bottom                        
R6         6360.0000  4530.0000  000        EXACT     (FREE)    Bottom                        
R7         3288.0000  4716.0000  090        EXACT     (FREE)    Top                           
R8         2998.0000  5156.0000  000        EXACT     (FREE)    Top                           
R9         2968.0000  4906.0000  270        EXACT     (FREE)    Top                           
R10        840.0000   4740.0000  090        EXACT     (FREE)    Top                           
R11        1204.0000  4220.0000  180        EXACT     (FREE)    Top                           
R12        1204.0000  4310.0000  180        EXACT     (FREE)    Top                           
R13        910.0000   4300.0000  180        EXACT     (FREE)    Top                           
R14        10095.0000 5500.0000  180        EXACT     (FREE)    Top                           
R15        10270.0000 1480.0000  270        EXACT     (FREE)    Bottom                        
R16        500.0000   4920.0000  180        EXACT     (FREE)    Top                           
R17        500.0000   4830.0000  180        EXACT     (FREE)    Top                           
R18        500.0000   4740.0000  180        EXACT     (FREE)    Top                           
R19        840.0000   1680.0000  000        EXACT     (FREE)    Bottom                        
R20        2998.0000  5036.0000  000        EXACT     (FREE)    Top                           
R21        3348.0000  4946.0000  090        EXACT     (FREE)    Top                           
R22        3180.0000  2140.0000  000        EXACT     (FREE)    Bottom                        
R23        3180.0000  1960.0000  180        EXACT     (FREE)    Bottom                        
R24        3520.0000  2060.0000  000        EXACT     (FREE)    Bottom                        
R25        500.0000   4650.0000  180        EXACT     (FREE)    Top                           
R26        500.0000   4560.0000  180        EXACT     (FREE)    Top                           
R27        500.0000   4470.0000  180        EXACT     (FREE)    Top                           
R28        500.0000   4380.0000  180        EXACT     (FREE)    Top                           
R29        500.0000   4290.0000  180        EXACT     (FREE)    Top                           
R30        500.0000   4200.0000  180        EXACT     (FREE)    Top                           
R31        500.0000   4110.0000  180        EXACT     (FREE)    Top                           
R32        500.0000   3300.0000  180        EXACT     (FREE)    Top                           
R33        500.0000   3210.0000  180        EXACT     (FREE)    Top                           
R34        500.0000   3480.0000  180        EXACT     (FREE)    Top                           
R35        500.0000   3390.0000  180        EXACT     (FREE)    Top                           
R36        500.0000   3660.0000  180        EXACT     (FREE)    Top                           
R37        500.0000   3570.0000  180        EXACT     (FREE)    Top                           
R38        500.0000   3840.0000  180        EXACT     (FREE)    Top                           
R39        500.0000   3750.0000  180        EXACT     (FREE)    Top                           
R40        500.0000   4020.0000  180        EXACT     (FREE)    Top                           
R41        500.0000   3930.0000  180        EXACT     (FREE)    Top                           
R42        3520.0000  1880.0000  180        EXACT     (FREE)    Bottom                        
R43        5540.0000  5200.0000  270        EXACT     (FREE)    Bottom                        
R44        5630.0000  5200.0000  270        EXACT     (FREE)    Bottom                        
R45        5720.0000  5200.0000  270        EXACT     (FREE)    Bottom                        
R46        5810.0000  5200.0000  270        EXACT     (FREE)    Bottom                        
R47        5440.0000  5200.0000  270        EXACT     (FREE)    Bottom                        
R48        5440.0000  5380.0000  000        EXACT     (FREE)    Bottom                        
R49        5270.0000  5380.0000  000        EXACT     (FREE)    Bottom                        
R50        5155.0000  5025.0000  000        EXACT     (FREE)    Bottom                        
R51        5155.0000  5120.0000  180        EXACT     (FREE)    Bottom                        
R52        5090.0000  5350.0000  000        EXACT     (FREE)    Bottom                        
R53        5230.0000  3370.0000  000        EXACT     (FREE)    Bottom                        
R54        5090.0000  5260.0000  180        EXACT     (FREE)    Bottom                        
R55        4070.0000  5170.0000  270        EXACT     (FREE)    Top                           
R56        3980.0000  5170.0000  090        EXACT     (FREE)    Top                           
R57        4360.0000  4920.0000  180        EXACT     (FREE)    Bottom                        
R58        4360.0000  5020.0000  000        EXACT     (FREE)    Bottom                        
R59        4950.0000  3560.0000  000        EXACT     (FREE)    Bottom                        
R60        4950.0000  3650.0000  180        EXACT     (FREE)    Bottom                        
R61        4950.0000  3470.0000  000        EXACT     (FREE)    Bottom                        
R62        4950.0000  3380.0000  180        EXACT     (FREE)    Bottom                        
R63        4730.0000  3870.0000  180        EXACT     (FREE)    Top                           
R64        4950.0000  3200.0000  000        EXACT     (FREE)    Bottom                        
R65        4950.0000  3290.0000  180        EXACT     (FREE)    Bottom                        
R66        4950.0000  3110.0000  000        EXACT     (FREE)    Bottom                        
R67        4950.0000  3020.0000  180        EXACT     (FREE)    Bottom                        
R68        5230.0000  3460.0000  000        EXACT     (FREE)    Bottom                        
R69        5230.0000  3280.0000  180        EXACT     (FREE)    Bottom                        
R70        5170.0000  3630.0000  270        EXACT     (FREE)    Bottom                        
R71        5260.0000  3630.0000  090        EXACT     (FREE)    Bottom                        
R72        5440.0000  3630.0000  270        EXACT     (FREE)    Bottom                        
R73        5350.0000  3630.0000  090        EXACT     (FREE)    Bottom                        
R74        5580.0000  3630.0000  090        EXACT     (FREE)    Bottom                        
R75        5670.0000  3630.0000  090        EXACT     (FREE)    Bottom                        
R76        5760.0000  3630.0000  090        EXACT     (FREE)    Bottom                        
R77        5850.0000  3630.0000  090        EXACT     (FREE)    Bottom                        
R78        5390.0000  3680.0000  180        EXACT     (FREE)    Top                           
R79        4310.0000  610.0000   270        EXACT     (FREE)    Bottom                        
R80        4070.0000  4640.0000  180        EXACT     (FREE)    Bottom                        
R81        4070.0000  4730.0000  000        EXACT     (FREE)    Bottom                        
R82        4070.0000  4820.0000  180        EXACT     (FREE)    Bottom                        
R83        4070.0000  4910.0000  000        EXACT     (FREE)    Bottom                        
R84        3730.0000  4520.0000  180        EXACT     (FREE)    Bottom                        
R85        3730.0000  4610.0000  000        EXACT     (FREE)    Bottom                        
R86        3730.0000  4710.0000  180        EXACT     (FREE)    Bottom                        
R87        3730.0000  4810.0000  000        EXACT     (FREE)    Bottom                        
R88        4360.0000  4520.0000  180        EXACT     (FREE)    Bottom                        
R89        4360.0000  4620.0000  000        EXACT     (FREE)    Bottom                        
R90        4360.0000  4720.0000  180        EXACT     (FREE)    Bottom                        
R91        4360.0000  4820.0000  000        EXACT     (FREE)    Bottom                        
R92        4080.0000  4220.0000  180        EXACT     (FREE)    Bottom                        
R93        4080.0000  4320.0000  000        EXACT     (FREE)    Bottom                        
R94        4080.0000  4430.0000  180        EXACT     (FREE)    Bottom                        
R95        4080.0000  4540.0000  000        EXACT     (FREE)    Bottom                        
R96        4080.0000  3790.0000  180        EXACT     (FREE)    Bottom                        
R97        4080.0000  3900.0000  000        EXACT     (FREE)    Bottom                        
R98        4080.0000  4010.0000  180        EXACT     (FREE)    Bottom                        
R99        4080.0000  4110.0000  000        EXACT     (FREE)    Bottom                        
R100       4950.0000  3380.0000  000        EXACT     (FREE)    Top                           
R101       4950.0000  3470.0000  180        EXACT     (FREE)    Top                           
R102       4950.0000  3560.0000  000        EXACT     (FREE)    Top                           
R103       4950.0000  3650.0000  180        EXACT     (FREE)    Top                           
R104       4360.0000  4420.0000  000        EXACT     (FREE)    Bottom                        
R105       4360.0000  4330.0000  000        EXACT     (FREE)    Bottom                        
R106       4360.0000  4060.0000  000        EXACT     (FREE)    Bottom                        
R107       4360.0000  4150.0000  000        EXACT     (FREE)    Bottom                        
R108       4360.0000  4240.0000  000        EXACT     (FREE)    Bottom                        
R109       4360.0000  3790.0000  000        EXACT     (FREE)    Bottom                        
R110       4360.0000  3880.0000  000        EXACT     (FREE)    Bottom                        
R111       5600.0000  2510.0000  180        EXACT     (FREE)    Top                           
R112       5600.0000  2610.0000  180        EXACT     (FREE)    Top                           
R113       4920.0000  1930.0000  090        EXACT     (FREE)    Bottom                        
R114       4950.0000  2300.0000  270        EXACT     (FREE)    Top                           
R115       4360.0000  3970.0000  000        EXACT     (FREE)    Bottom                        
R116       5130.0000  4180.0000  180        EXACT     (FREE)    Bottom                        
R117       5810.0000  5200.0000  270        EXACT     (FREE)    Top                           
R118       5130.0000  4090.0000  180        EXACT     (FREE)    Bottom                        
R119       5130.0000  4000.0000  180        EXACT     (FREE)    Bottom                        
R120       5130.0000  4270.0000  180        EXACT     (FREE)    Bottom                        
R121       5040.0000  4560.0000  090        EXACT     (FREE)    Bottom                        
R122       5130.0000  4560.0000  090        EXACT     (FREE)    Bottom                        
R123       5220.0000  4560.0000  090        EXACT     (FREE)    Bottom                        
R124       5310.0000  4560.0000  090        EXACT     (FREE)    Bottom                        
R125       3180.0000  1690.0000  180        EXACT     (FREE)    Bottom                        
R126       3180.0000  1780.0000  000        EXACT     (FREE)    Bottom                        
R127       3180.0000  1870.0000  180        EXACT     (FREE)    Bottom                        
R128       3180.0000  2050.0000  000        EXACT     (FREE)    Bottom                        
R129       3180.0000  1330.0000  180        EXACT     (FREE)    Bottom                        
R130       3180.0000  1420.0000  000        EXACT     (FREE)    Bottom                        
R131       3180.0000  1510.0000  180        EXACT     (FREE)    Bottom                        
R132       3180.0000  1600.0000  000        EXACT     (FREE)    Bottom                        
R133       3520.0000  1700.0000  180        EXACT     (FREE)    Bottom                        
R134       3520.0000  1790.0000  000        EXACT     (FREE)    Bottom                        
R135       3520.0000  1970.0000  180        EXACT     (FREE)    Bottom                        
R136       3520.0000  2150.0000  000        EXACT     (FREE)    Bottom                        
R137       3180.0000  970.0000   180        EXACT     (FREE)    Bottom                        
R138       3180.0000  1060.0000  000        EXACT     (FREE)    Bottom                        
R139       3180.0000  1150.0000  180        EXACT     (FREE)    Bottom                        
R140       3180.0000  1240.0000  000        EXACT     (FREE)    Bottom                        
R141       3520.0000  1340.0000  180        EXACT     (FREE)    Bottom                        
R142       3520.0000  1430.0000  000        EXACT     (FREE)    Bottom                        
R143       3520.0000  1520.0000  180        EXACT     (FREE)    Bottom                        
R144       3520.0000  1610.0000  000        EXACT     (FREE)    Bottom                        
