Drill Listing
=============
Drill: .01  Tool: 1  Feed: 95  Speed: 300
X 1496150  Y 1179710
X 1491720  Y 1162130
X 1490340  Y 1177310
X 1488380  Y 1179310
X 1485880  Y 1174100
X 1483510  Y 1179250
X 1476900  Y 1178800
X 1468550  Y 1167219
X 1466400  Y 1175600
X 1465770  Y 1159719
X 1462500  Y 1168330
X 1462500  Y 1177829
X 1460720  Y 1156529
X 1458500  Y 1168189
X 1454980  Y 1174370
X 1453750  Y 1166470
X 1451690  Y 1173450
X 1448500  Y 1172620
X 1447460  Y 1166870
X 1445540  Y 1172970
X 1440500  Y 1174800
X 1440040  Y 1168930
X 1435010  Y 1172609
X 1428960  Y 1172740
X 1419660  Y 1170610
X 1416760  Y 1170540
X 1407650  Y 1172590
X 1403460  Y 1173190
X 1399960  Y 1173070
X 1395140  Y 1171590
X 1395030  Y 1167590
X 1389990  Y 1167650
X 1389910  Y 1171370
X 1375000  Y 1168330
X 1375000  Y 1177830
X 1371000  Y 1168190
X 1367480  Y 1174370
X 1366250  Y 1166470
X 1364190  Y 1173450
X 1361000  Y 1172620
X 1359960  Y 1166870
X 1358040  Y 1172970
X 1353000  Y 1174800
X 1352540  Y 1168930
X 1341460  Y 1172740
X 1332160  Y 1170610
X 1329260  Y 1170540
X 1320150  Y 1172590
X 1315960  Y 1173190
X 1312460  Y 1173070
X 1307640  Y 1171590
X 1307530  Y 1167590
X 1302490  Y 1167650
X 1302410  Y 1171370
X 1287500  Y 1168330
X 1287500  Y 1177830
X 1283500  Y 1168190
X 1279980  Y 1174370
X 1278750  Y 1166470
X 1276690  Y 1173450
X 1273500  Y 1172620
X 1272460  Y 1166870
X 1270540  Y 1172970
X 1265040  Y 1168930
X 1259930  Y 1173010
X 1253960  Y 1172740
X 1244660  Y 1170610
X 1241760  Y 1170540
X 1232650  Y 1172590
X 1228460  Y 1173190
X 1224960  Y 1173070
X 1220140  Y 1171590
X 1220030  Y 1167590
X 1214990  Y 1167650
X 1214910  Y 1171370
X 1200000  Y 1177570
X 1200000  Y 1168330
X 1196000  Y 1168190
X 1192480  Y 1174370
X 1191250  Y 1166470
X 1189190  Y 1173450
X 1186000  Y 1172620
X 1184960  Y 1166870
X 1183040  Y 1172970
X 1178000  Y 1174800
X 1177540  Y 1168930
X 1172420  Y 1173270
X 1166460  Y 1172740
X 1157160  Y 1170610
X 1154260  Y 1170540
X 1145150  Y 1172590
X 1140960  Y 1173190
X 1137460  Y 1173070
X 1132640  Y 1171590
X 1132530  Y 1167590
X 1127490  Y 1167650
X 1127410  Y 1171370
X 1060900  Y 1156500
X 1049000  Y 1200000
X 1056000  Y 1197500
X 1060000  Y 1193500
X 1062000  Y 1190500
X 1069600  Y 1204500
X 1070000  Y 1186500
X 1070040  Y 1195000
X 1070080  Y 1198150
X 1070500  Y 1190000
X 1093600  Y 1201300
X 1104710  Y 1204450
X 1106900  Y 1195000
X 1107300  Y 1198200
X 1119000  Y 1184630
X 1119000  Y 1195130
X 1122500  Y 1184630
X 1122500  Y 1195130
X 1133500  Y 1184630
X 1133500  Y 1195130
X 1174500  Y 1185800
X 1174600  Y 1182200
X 1174700  Y 1188800
X 1186750  Y 1199760
X 1193480  Y 1193470
X 1197170  Y 1194360
X 1207000  Y 1195130
X 1210000  Y 1195130
X 1221000  Y 1195130
X 1262100  Y 1186200
X 1262200  Y 1189100
X 1262200  Y 1183400
X 1274080  Y 1200420
X 1280980  Y 1193470
X 1284780  Y 1194880
X 1294000  Y 1195130
X 1294000  Y 1184630
X 1297500  Y 1184630
X 1297500  Y 1195130
X 1308500  Y 1195130
X 1308500  Y 1184630
X 1349600  Y 1183100
X 1349600  Y 1189200
X 1349600  Y 1186300
X 1361500  Y 1200330
X 1368480  Y 1193470
X 1372170  Y 1194360
X 1381500  Y 1184630
X 1381500  Y 1195130
X 1385000  Y 1184630
X 1385000  Y 1195130
X 1396000  Y 1184630
X 1396000  Y 1195130
X 1437000  Y 1186200
X 1437100  Y 1182900
X 1437200  Y 1189000
X 1449250  Y 1200369
X 1455980  Y 1193470
X 1459670  Y 1194360
X 1471800  Y 1192009
X 1472300  Y 1189380
X 1473610  Y 1205469
X 1473700  Y 1194189
X 1474850  Y 1199910
X 1475450  Y 1202880
X 1496800  Y 1193600
X 1501500  Y 1190800
X 1515560  Y 1184630
X 1526960  Y 1189080
X 1572500  Y 1220500
X 1572500  Y 1228000
X 1556800  Y 1227000
X 1552400  Y 1227600
X 1542600  Y 1211600
X 1539080  Y 1210450
X 1531000  Y 1225900
X 1493810  Y 1219470
X 1480560  Y 1225630
X 1472260  Y 1208519
X 1440800  Y 1224129
X 1440510  Y 1210379
X 1434070  Y 1206850
X 1425800  Y 1216080
X 1409280  Y 1208320
X 1408270  Y 1219139
X 1407250  Y 1229300
X 1405930  Y 1208880
X 1401520  Y 1229310
X 1393380  Y 1216009
X 1388330  Y 1212880
X 1381550  Y 1219480
X 1381220  Y 1223190
X 1381190  Y 1229490
