RefDes     X          Y          Rot.       Exact     (FREE)    Side
C172       3575.0000  4425.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C173       4225.0000  4125.0000  180        EXACT     (FREE)    L1_TOP SIDE                   
C174       1350.0000  2115.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
C175       1120.0000  1980.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C176       1145.0000  2100.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C177       3722.6202  3878.1114  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C178       3925.0000  2175.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C179       1780.0000  2100.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C180       3412.6202  3873.1114  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C181       1655.0000  2110.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
C182       1575.0000  3675.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C183       975.0000   3600.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C184       1845.0000  2085.0000  180        EXACT     (FREE)    L1_TOP SIDE                   
C185       1655.0000  2120.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C186       1655.0000  2000.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C187       2345.0000  2095.0000  000        EXACT     (FREE)    L1_TOP SIDE                   
C188       1775.0000  3725.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C189       2420.0000  2100.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C190       1400.0000  4775.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C191       1465.0000  3930.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C192       1510.0000  4735.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C193       800.0000   1200.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C194       3475.0000  850.0000   180        EXACT     (FREE)    L1_TOP SIDE                   
C195       3475.0000  725.0000   000        EXACT     (FREE)    L1_TOP SIDE                   
C196       555.0000   1220.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C197       625.0000   1400.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C198       3455.0000  175.0000   180        EXACT     (FREE)    L1_TOP SIDE                   
C199       3455.0000  305.0000   000        EXACT     (FREE)    L1_TOP SIDE                   
C200       3475.0000  450.0000   180        EXACT     (FREE)    L1_TOP SIDE                   
C201       3475.0000  585.0000   000        EXACT     (FREE)    L1_TOP SIDE                   
C202       3225.0000  175.0000   180        EXACT     (FREE)    L1_TOP SIDE                   
C203       3225.0000  300.0000   000        EXACT     (FREE)    L1_TOP SIDE                   
C204       750.0000   1400.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C205       1000.0000  1025.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C206       3725.0000  450.0000   180        EXACT     (FREE)    L1_TOP SIDE                   
C207       3725.0000  575.0000   000        EXACT     (FREE)    L1_TOP SIDE                   
C208       3225.0000  850.0000   000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C209       3225.0000  725.0000   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C210       3225.0000  575.0000   180        EXACT     (FREE)    L1_TOP SIDE                   
C211       3225.0000  450.0000   000        EXACT     (FREE)    L1_TOP SIDE                   
C212       2450.0000  4790.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C213       800.0000   3600.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C214       3225.0000  300.0000   000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C215       3225.0000  175.0000   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C216       3225.0000  450.0000   000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C217       3225.0000  575.0000   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C218       3225.0000  725.0000   180        EXACT     (FREE)    L1_TOP SIDE                   
C219       3225.0000  850.0000   000        EXACT     (FREE)    L1_TOP SIDE                   
C220       3725.0000  575.0000   000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C221       3725.0000  450.0000   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C222       1475.0000  3675.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C223       2625.0000  2800.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C224       3375.0000  2825.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C225       2275.0000  5725.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C226       2025.0000  5725.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C227       1775.0000  5725.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C228       625.0000   3600.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C229       2520.0000  2085.0000  180        EXACT     (FREE)    L1_TOP SIDE                   
C230       2325.0000  2120.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C231       2315.0000  2190.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
C232       3080.0000  2210.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C233       3010.0000  2185.0000  090        EXACT     (FREE)    L1_TOP SIDE                   
C234       3235.0000  2090.0000  000        EXACT     (FREE)    L1_TOP SIDE                   
C235       3030.0000  2085.0000  000        EXACT     (FREE)    L1_TOP SIDE                   
C236       3245.0000  2090.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C237       1355.0000  2130.0000  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C238       1650.0000  1675.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C239       1875.0000  1675.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C240       1075.0000  1700.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C241       3590.0000  1695.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C242       3225.0000  1675.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C243       3000.0000  1675.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C244       2775.0000  1675.0000  270        EXACT     (FREE)    L1_TOP SIDE                   
C245       1344.0000  1682.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C246       1575.0000  1675.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C247       1750.0000  1675.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C248       2200.0000  1695.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C249       2955.0000  1695.0000  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C250       2800.0000  1695.0000  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C251       3350.0000  1675.0000  270        EXACT     (FREE)    L8_BOTTOM_SIDE                
