*PADS-ECO-V9.0.1-MILS*
*REMARK*  old file: D:\Vijay\SVN\NGP_ODC\PDLC\Prodigy HW files\IES\Rev3\Schematics\18-IES-NGP_rev3-156406.asc
*REMARK*  new file: D:\Vijay\SVN\NGP_ODC\PDLC\Prodigy HW files\IES\Rev3\Schematics\18-IES-NGP_rev3.asc
*REMARK*  created by ECOGEN (Version 6.4v) on 7/25/2012 3:27:57 PM

PART DIFFERENCES
----------------
OLD DESIGN                                        NEW DESIGN
Ref-des	Part-type:Decal                           Ref-des	Part-type:Decal
C214   CAP_100NF_50V_0603:0603                    C214   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C215   CAP_100NF_50V_0603:0603                    C215   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C216   CAP_100NF_50V_0603:0603                    C216   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C217   CAP_100NF_50V_0603:0603                    C217   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C218   CAP_100NF_50V_0603:0603                    C218   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C219   CAP_100NF_50V_0603:0603                    C219   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C22   CAP_100NF_50V_0603:0603                     C22   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C220   CAP_100NF_50V_0603:0603                    C220   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C234   CAP_100NF_50V_0603:0603                    C234   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C236   CAP_100NF_50V_0603:0603                    C236   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C237   CAP_100NF_50V_0603:0603                    C237   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C238   CAP_100NF_50V_0603:0603                    C238   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C239   CAP_100NF_50V_0603:0603                    C239   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C246   CAP_100NF_50V_0603:0603                    C246   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C252   CAP_100NF_50V_0603:0603                    C252   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C253   CAP_100NF_50V_0603:0603                    C253   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C255   CAP_100NF_50V_0603:0603                    C255   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C257   CAP_100NF_50V_0603:0603                    C257   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C260   CAP_100NF_50V_0603:0603                    C260   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C261   CAP_100NF_50V_0603:0603                    C261   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C262   CAP_100NF_50V_0603:0603                    C262   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C263   CAP_100NF_50V_0603:0603                    C263   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C264   CAP_100NF_50V_0603:0603                    C264   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C265   CAP_100NF_50V_0603:0603                    C265   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
C266   CAP_100NF_50V_0603:0603                    C266   CAP-0.1UF-50V-0603-10%-06035C104KAT2A:C0603
