Drill Listing
=============
Drill: .012  Tool: 1  Feed: 0  Speed: 0
X 1675590  Y 1214724
X 1675590  Y 1220236
X 1683464  Y 1231653
X 1683464  Y 1220629
X 1683464  Y 1226141
X 1683464  Y 1215118
X 1691338  Y 1220236
X 1691338  Y 1231259
X 1691338  Y 1214724
X 1691338  Y 1225748
X 1699212  Y 1215118
X 1699212  Y 1220629
X 1699212  Y 1226141
X 1699212  Y 1231653
X 1715157  Y 1214724
X 1715157  Y 1220236
X 1715157  Y 1225748
X 1715157  Y 1231259
X 1723031  Y 1215118
X 1723031  Y 1220629
X 1723031  Y 1226141
X 1723031  Y 1231653
X 1730905  Y 1214724
X 1730905  Y 1220236
X 1730905  Y 1225748
X 1730905  Y 1231259
X 1738779  Y 1215118
X 1738779  Y 1220629
X 1738779  Y 1226141
X 1738779  Y 1231653
X 1746653  Y 1214724
X 1746653  Y 1220236
X 1746653  Y 1225748
X 1746653  Y 1231259
X 1754527  Y 1215118
X 1754527  Y 1220629
X 1754527  Y 1226141
X 1754527  Y 1231653
X 1762401  Y 1214724
X 1762401  Y 1220236
X 1762401  Y 1225748
X 1762401  Y 1231259
X 1770275  Y 1215118
X 1770275  Y 1220629
X 1770275  Y 1226141
X 1770275  Y 1231653
X 1778149  Y 1214724
X 1778149  Y 1220236
X 1778149  Y 1225748
X 1778149  Y 1231259
X 1786024  Y 1215118
X 1786024  Y 1220629
X 1786024  Y 1226141
X 1786024  Y 1231653
X 1913976  Y 1214724
X 1913976  Y 1220236
X 1913976  Y 1225748
X 1913976  Y 1231259
X 1921850  Y 1215118
X 1921850  Y 1231653
X 1921850  Y 1220629
X 1921850  Y 1226141
X 1929724  Y 1220236
X 1929724  Y 1225748
X 1929724  Y 1231259
X 1929724  Y 1214724
X 1937598  Y 1220629
X 1937598  Y 1231653
X 1937598  Y 1226141
X 1937598  Y 1215118
X 1945472  Y 1220236
X 1945472  Y 1231259
X 1945472  Y 1225748
X 1945472  Y 1214724
X 1953346  Y 1226141
X 1953346  Y 1220629
X 1953346  Y 1231653
X 1953346  Y 1215118
X 1961220  Y 1220236
X 1961220  Y 1231259
X 1961220  Y 1225748
X 1961220  Y 1214724
X 1969094  Y 1220629
X 1969094  Y 1231653
X 1969094  Y 1226141
X 1969094  Y 1215118
X 1976968  Y 1220236
X 1976968  Y 1231259
X 1976968  Y 1225748
X 1976968  Y 1214724
X 1984843  Y 1226141
X 1984843  Y 1220629
X 1984843  Y 1231653
X 1984843  Y 1215118
X 2000787  Y 1214724
