Item	Qty	Reference	Part Name	Manufacturer	Description	MFG P/N	CCC P/N	VALUE
1	1	U97	10175_1	TI	IC BUS BUFF TRI-ST N-INV SOT5	SN74LVC1G125DRLR		SN74LVC1G125DRLR
2	1	U98	10175_1	TI	IC BUS BUFF TRI-ST N-INV SOT5	SN74LVC1G125DRLR		SN74LVC1G125DRLR
3	1	U16	24LC01B	Microchip Technology	IC EEPROM 16KBIT 400KHZ 8SOIC	24LC16B-I/SN		24LC16B
4	1	U17	24LC01B	Microchip Technology	IC EEPROM 16KBIT 400KHZ 8SOIC	24LC16B-I/SN		24LC16B
5	1	J4	6PINHDR	TE-connectivity	CONN HEADER RTANG 6POS .100 TIN	640453-6		
6	1	U3	74LV125	NXP	IC BUFF DVR TRI-ST QUAD 14TSSOP	74LV125PW		74LV125
7	1	U4	74LV125	NXP	IC BUFF DVR TRI-ST QUAD 14TSSOP	74LV125PW		74LV125
8	1	CRYSTAL1	8MHZ	Abracon	CRYSTAL 8.00 MHZ 8PF SMD	ABM7-8.000MHZ-D2Y-T		8MHz
9	1	U22	AND_2	TI	IC SNGL 2IN POS-AND GATE SOT-553	SN74LVC1G08DRLR		SN74LVC1G08DRLR
10	1	U8	AND_3_IP	TI	IC SNGL 3IN POS AND GATE SC70-6	SN74LVC1G11DCKR		SN74LVC1G11DCKR
11	1	Q1	BCP68T1	ON semiconductor	TRANS NPN AUDIO 1A 25V SOT223	BCP68T1G		BCP68
12	1	U30	BUFFER-TDO	TI	IC BUFF/DVR NON-INVERT SOT5	SN74LVC1G07DRLR		SN74LVC1G07DRLR
13	1	C131	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
14	1	C132	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
15	1	C133	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
16	1	C134	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
17	1	C135	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
18	1	C136	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
19	1	C137	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
20	1	C138	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
21	1	C139	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
22	1	C140	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
23	1	C141	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
24	1	C142	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
25	1	C143	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
26	1	C144	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
27	1	C145	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
28	1	C146	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
29	1	C147	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
30	1	C148	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
31	1	C149	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
32	1	C150	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
33	1	C154	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
34	1	C158	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
35	1	C159	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
36	1	C160	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
37	1	C161	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
38	1	C162	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
39	1	C163	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
40	1	C164	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
41	1	C186	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
42	1	C187	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
43	1	C188	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
44	1	C189	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
45	1	C190	CAP-0.01UF-25V-0306	AVX	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0306 0.01uF 10volts C0G 10%	0306ZC103KAT2A		0.01uF
46	1	C8	CAP-0.01UF-6.3V-0402	yageo	CAP 10000PF 16V CERAMIC X7R 0402	CC0402KRX7R7BB103		0.01uF
47	1	C30	CAP-0.01UF-6.3V-0402	yageo	CAP 10000PF 16V CERAMIC X7R 0402	CC0402KRX7R7BB103		0.01uF
48	1	C32	CAP-0.01UF-6.3V-0402	yageo	CAP 10000PF 16V CERAMIC X7R 0402	CC0402KRX7R7BB103		0.01uF
49	1	C40	CAP-0.01UF-6.3V-0402	yageo	CAP 10000PF 16V CERAMIC X7R 0402	CC0402KRX7R7BB103		0.01uF
50	1	C123	CAP-0.01UF-6.3V-0402	yageo	CAP 10000PF 16V CERAMIC X7R 0402	CC0402KRX7R7BB103	###	0.01uF
51	1	C165	CAP-0.01UF-6.3V-0402	yageo	CAP 10000PF 16V CERAMIC X7R 0402	CC0402KRX7R7BB103		0.01uF
52	1	C167	CAP-0.01UF-6.3V-0402	yageo	CAP 10000PF 16V CERAMIC X7R 0402	CC0402KRX7R7BB103		0.01uF
53	1	C168	CAP-0.01UF-6.3V-0402	yageo	CAP 10000PF 16V CERAMIC X7R 0402	CC0402KRX7R7BB103		0.01uF
54	1	C170	CAP-0.01UF-6.3V-0402	yageo	CAP 10000PF 16V CERAMIC X7R 0402	CC0402KRX7R7BB103		0.01uF
55	1	C171	CAP-0.01UF-6.3V-0402	yageo	CAP 10000PF 16V CERAMIC X7R 0402	CC0402KRX7R7BB103		0.01uF
56	1	C178	CAP-0.01UF-6.3V-0402	yageo	CAP 10000PF 16V CERAMIC X7R 0402	CC0402KRX7R7BB103	###	0.01uF
57	1	C180	CAP-0.01UF-6.3V-0402	yageo	CAP 10000PF 16V CERAMIC X7R 0402	CC0402KRX7R7BB103	###	0.01uF
58	1	C51	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
59	1	C53	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
60	1	C54	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
61	1	C55	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
62	1	C56	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
63	1	C61	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
64	1	C62	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
65	1	C63	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
66	1	C64	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
67	1	C65	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
68	1	C66	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
69	1	C67	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
70	1	C68	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
71	1	C69	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
72	1	C70	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
73	1	C71	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
74	1	C85	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
75	1	C87	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
76	1	C88	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
77	1	C89	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
78	1	C90	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
79	1	C95	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
80	1	C96	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
81	1	C97	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
82	1	C98	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
83	1	C99	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
84	1	C100	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
85	1	C101	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
86	1	C102	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
87	1	C103	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
88	1	C104	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
89	1	C105	CAP-0.1UF-10V-0402	yageo	CAP CERAMIC .1UF 10V X5R 0402	CC0402KRX5R6BB104	###	0.1uF
90	1	C3	CAP-1UF-50V-0603	Taiyo Yuden	CAP CER 1.0UF 50V X5R 10% 0603	UMK107BJ105KA-T		1uF
91	1	C153	CAP-1UF-50V-0603	Taiyo Yuden	CAP CER 1.0UF 50V X5R 10% 0603	UMK107BJ105KA-T		1uF
92	1	C191	CAP-1UF-50V-0603	Taiyo Yuden	CAP CER 1.0UF 50V X5R 10% 0603	UMK107BJ105KA-T		1uF
93	1	C193	CAP-1UF-50V-0603	Taiyo Yuden	CAP CER 1.0UF 50V X5R 10% 0603	UMK107BJ105KA-T		1uF
94	1	C216	CAP-1UF-50V-0603	Taiyo Yuden	CAP CER 1.0UF 50V X5R 10% 0603	UMK107BJ105KA-T		1uF
95	1	C25	CAP-2200PF-50V-0603	murata	CAP CER 2200PF 50V X5R 0603	GRM188R61H222KA01D		2200pF
96	1	C27	CAP-2200PF-50V-0603	murata	CAP CER 2200PF 50V X5R 0603	GRM188R61H222KA01D		2200pF
97	1	C124	CAP-25V-1UF-805	murata	CAP CER 1.0UF 25V 10% X5R 0805	GRM216R61E105KA12D	###	1uF
98	1	C15	CAP-25V-22UF-2312	AVX	CAP TANTALUM 22UF 25V 10% SMD	TAJC226K025RNJ		22uF
99	1	C151	CAP-25V-22UF-2312	AVX	CAP TANTALUM 22UF 25V 10% SMD	TAJC226K025RNJ		22uF
100	1	C26	CAP-39PF-250V-0603	murata	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 01005 39pF 16volts C0G 5%	GRM0225C1C390JD01D		39pF
101	1	C220	CAP-47PF-50V-0603	KEMET	CAP CERAMIC 47PF 50V NP0 0603	C0603C470J5GACTU		47pF
102	1	C9	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
103	1	C10	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
104	1	C11	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
105	1	C16	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
106	1	C17	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
107	1	C20	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
108	1	C24	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
109	1	C28	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
110	1	C34	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
111	1	C36	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
112	1	C152	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
113	1	C155	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
114	1	C156	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
115	1	C157	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
116	1	C173	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
117	1	C176	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J	###	0.01uF
118	1	C182	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
119	1	C183	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
120	1	C184	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
121	1	C192	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
122	1	C203	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
123	1	C204	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
124	1	C205	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
125	1	C206	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
126	1	C207	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
127	1	C208	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
128	1	C209	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
129	1	C211	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
130	1	C212	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
131	1	C213	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
132	1	C214	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
133	1	C215	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
134	1	C217	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
135	1	C218	CAP-50V-0.01UF-603	TDK Corporation	CAP CER 10000PF 50V X7R 0603	C1608X7R1H103J		0.01uF
136	1	C5	CAP-50V-15PF-0603	kemet	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 50volts 15pF C0G 0.5%	C0603C150D5GACTU		15pF
137	1	C6	CAP-50V-15PF-0603	kemet	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 50volts 15pF C0G 0.5%	C0603C150D5GACTU		15pF
138	1	C243	CAP-CC05	Kemet	CAP TANT 47UF 10V 20% SMD	T520B476M010ATE035		47uF
139	1	C248	CAP-CC05	Kemet	CAP TANT 47UF 10V 20% SMD	T520B476M010ATE035		47uF
140	1	C250	CAP-CC05	Kemet	CAP TANT 47UF 10V 20% SMD	T520B476M010ATE035		47uF
141	1	C251	CAP-CC05	Kemet	CAP TANT 47UF 10V 20% SMD	T520B476M010ATE035		47uF
142	1	C48	CAP-TAN-16V-10UF	AVX	CAP TANTALUM 10UF 16V 10% SMD	TAJA106K016RNJ		10uF
143	1	C177	CAP-TAN-16V-10UF	AVX	CAP TANTALUM 10UF 16V 10% SMD	TAJA106K016RNJ		10uF
144	1	C179	CAP-TAN-16V-10UF	AVX	CAP TANTALUM 10UF 16V 10% SMD	TAJA106K016RNJ		10uF
145	1	C181	CAP-TAN-16V-10UF	AVX	CAP TANTALUM 10UF 16V 10% SMD	TAJA106K016RNJ		10uF
146	1	C33	CAP-TANLE-10V-10UF	AVX	CAP TANT LOWESR 10UF 10V 10% SMD	TPSA106K010R0900		10uF
147	1	C129	CAP-TANLE-10V-10UF	AVX	CAP TANT LOWESR 10UF 10V 10% SMD	TPSA106K010R0900		10uF
148	1	C130	CAP-TANLE-10V-10UF	AVX	CAP TANT LOWESR 10UF 10V 10% SMD	TPSA106K010R0900		10uF
149	1	C166	CAP-TANLE-10V-10UF	AVX	CAP TANT LOWESR 10UF 10V 10% SMD	TPSA106K010R0900		10uF
150	1	C169	CAP-TANLE-10V-10UF	AVX	CAP TANT LOWESR 10UF 10V 10% SMD	TPSA106K010R0900		10uF
151	1	C172	CAP-TANLE-10V-10UF	AVX	CAP TANT LOWESR 10UF 10V 10% SMD	TPSA106K010R0900		10uF
152	1	C185	CAP-TANLE-10V-10UF	AVX	CAP TANT LOWESR 10UF 10V 10% SMD	TPSA106K010R0900		10uF
153	1	C197	CAP-TANLE-10V-10UF	AVX	CAP TANT LOWESR 10UF 10V 10% SMD	TPSA106K010R0900		10uF
154	1	C198	CAP-TANLE-10V-10UF	AVX	CAP TANT LOWESR 10UF 10V 10% SMD	TPSA106K010R0900		10uF
155	1	C199	CAP-TANLE-10V-10UF	AVX	CAP TANT LOWESR 10UF 10V 10% SMD	TPSA106K010R0900		10uF
156	1	C200	CAP-TANLE-10V-10UF	AVX	CAP TANT LOWESR 10UF 10V 10% SMD	TPSA106K010R0900		10uF
157	1	C201	CAP-TANLE-10V-10UF	AVX	CAP TANT LOWESR 10UF 10V 10% SMD	TPSA106K010R0900		10uF
158	1	C202	CAP-TANLE-10V-10UF	AVX	CAP TANT LOWESR 10UF 10V 10% SMD	TPSA106K010R0900		10uF
159	1	C14	CAP-TANLOESR-16V-100UF-2917	kemet	CAPACITOR TANT 100UF 16V 10% SMD	T494V107K016AT		100uF
160	1	C18	CAP-TANLOESR-16V-100UF-2917	kemet	CAPACITOR TANT 100UF 16V 10% SMD	T494V107K016AT		100uF
161	1	C19	CAP-TANLOESR-16V-100UF-2917	kemet	CAPACITOR TANT 100UF 16V 10% SMD	T494V107K016AT		100uF
162	1	C21	CAP-TANLOESR-16V-100UF-2917	kemet	CAPACITOR TANT 100UF 16V 10% SMD	T494V107K016AT		100uF
163	1	C23	CAP-TANLOESR-16V-100UF-2917	kemet	CAPACITOR TANT 100UF 16V 10% SMD	T494V107K016AT		100uF
164	1	C29	CAP-TANLOESR-16V-100UF-2917	kemet	CAPACITOR TANT 100UF 16V 10% SMD	T494V107K016AT		100uF
165	1	C174	CAP-TANLOESR-16V-100UF-2917	kemet	CAPACITOR TANT 100UF 16V 10% SMD	T494V107K016AT		100uF
166	1	C35	CAP_1000PF_50V_0603	Kemet	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 50volts 1000pF C0G 5%	C0603C102J5GACTU	###	1000pF
167	1	C219	CAP_1000PF_50V_0603	Kemet	Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 50volts 1000pF C0G 5%	C0603C102J5GACTU	###	1000pF
168	1	C4	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
169	1	C7	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
170	1	C12	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
171	1	C13	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
172	1	C22	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
173	1	C41	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
174	1	C42	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
175	1	C43	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
176	1	C44	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
177	1	C47	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
178	1	C118	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
179	1	C119	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
180	1	C120	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
181	1	C121	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
182	1	C122	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
183	1	C125	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
184	1	C126	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
185	1	C127	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
186	1	C128	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
187	1	C175	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
188	1	C194	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
189	1	C195	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
190	1	C196	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
191	1	C244	CAP_100NF_50V_0603	Murata	CAP CER .1UF 50V 10% X7R 0603	GRM188R71H104KA93D	###	100nF
