Item	Qty	Reference	 Part  Name 	Manufacturer	Description	 MFG  P/N 	 CCC  P/N 	VALUE
468	1	R118	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
469	1	R133	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
470	1	R134	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
471	1	R135	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
472	1	R136	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
473	1	R137	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
474	1	R139	RES-4.7K-R0603-RC0603FR-074K7L	YAGEO	RESISTOR,4.7K,0.1,1%,R0603	RC0603FR-074K7L		4.7K
475	1	R15	RES-430E-R0603-RC0603FR-07430RL	YAGEO	RESISTOR,430E,0.1,1%,R0603	RC0603FR-07430RL		430E
476	1	R4	RES-47K-R0603-RC0603FR-0747KL	YAGEO	RESISTOR,47K,0.1,1%,R0603	RC0603FR-0747KL		47K
477	1	Q2	TRN-DPAK-NJD2873T4G	ONSEMICONDUCTOR	TRANSISTOR,PWR,NPN,50V,2A,DPAK	NJD2873T4G		NJD2873T4G
478	1	Q5	TRN-DPAK-NJD2873T4G	ONSEMICONDUCTOR	TRANSISTOR,PWR,NPN,50V,2A,DPAK	NJD2873T4G		NJD2873T4G
479	1	Q1	TRN-SOT-223-BCP68T1G	 ON  SEMICONDUCTOR 	TRANSISTOR,NPN,20V,1A,SOT223	BCP68T1G		BCP68T1G
480	1	X1	XTAL-2-SMD-ABM7-8.000MHZ-D2Y-T	 ABRACON  CORPORATION 	XYSTAL,8MHZ,18PF,LOAD	ABM7-8.000MHZ-D2Y-T		8MHZ
481	1	Y1	XTAL-4-SMD-ABM11-25.000MHZ-B7G-T	 ABRACON  CORPORATION 	XYSTAL,25MHZ,10PF,LOAD	ABM11-25.000MHZ-B7G-T		25MHz
482	1	Y3	XTAL-4-SMD-ABM11-25.000MHZ-B7G-T	 ABRACON  CORPORATION 	XYSTAL,25MHZ,10PF,LOAD	ABM11-25.000MHZ-B7G-T		25MHz
