*PADS-ECO-V9.4-MILS*
*REMARK*  old file: E:\CCC_NGP\PDLC\design\Schematics\MPC5534_daughter_card\Rev3.0\CCCNGP_MPC5534_BOARD_REV2.0.asc
*REMARK*  new file: E:\CCC_NGP\PDLC\design\Schematics\MPC5534_daughter_card\Rev3.0\CCCNGP_MPC5534_BOARD_REV3.0.asc
*REMARK*  created by ECOGEN (Version 6.4v) on 7/26/2012 3:46:36 PM

PART DIFFERENCES
----------------
OLD DESIGN                                        NEW DESIGN
Ref-des	Part-type:Decal                           Ref-des	Part-type:Decal
C151   CAP-25V-22UF-2312                          C151   CAP-22UF-25V-2312-10%-TPSC226K025R0275
C26   CAP-39PF-250V-0603                          C26   CAP-39PF-50V-0402-5%-04025A390JAT2A
C220   CAP-47PF-50V-0603                          C220   CAP-47PF-50V-0603-5%-06035A470JAT2A
C10   CAP-50V-0.01UF-603                          C10   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C11   CAP-50V-0.01UF-603                          C11   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C152   CAP-50V-0.01UF-603                         C152   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C155   CAP-50V-0.01UF-603                         C155   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C156   CAP-50V-0.01UF-603                         C156   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C157   CAP-50V-0.01UF-603                         C157   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C16   CAP-50V-0.01UF-603                          C16   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C17   CAP-50V-0.01UF-603                          C17   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C173   CAP-50V-0.01UF-603                         C173   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C176   CAP-50V-0.01UF-603                         C176   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C182   CAP-50V-0.01UF-603                         C182   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C183   CAP-50V-0.01UF-603                         C183   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C184   CAP-50V-0.01UF-603                         C184   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C192   CAP-50V-0.01UF-603                         C192   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C20   CAP-50V-0.01UF-603                          C20   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C203   CAP-50V-0.01UF-603                         C203   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C204   CAP-50V-0.01UF-603                         C204   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C205   CAP-50V-0.01UF-603                         C205   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C206   CAP-50V-0.01UF-603                         C206   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C207   CAP-50V-0.01UF-603                         C207   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C208   CAP-50V-0.01UF-603                         C208   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C209   CAP-50V-0.01UF-603                         C209   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C211   CAP-50V-0.01UF-603                         C211   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C212   CAP-50V-0.01UF-603                         C212   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C213   CAP-50V-0.01UF-603                         C213   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C214   CAP-50V-0.01UF-603                         C214   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C215   CAP-50V-0.01UF-603                         C215   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C217   CAP-50V-0.01UF-603                         C217   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C218   CAP-50V-0.01UF-603                         C218   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C24   CAP-50V-0.01UF-603                          C24   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C28   CAP-50V-0.01UF-603                          C28   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C34   CAP-50V-0.01UF-603                          C34   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C36   CAP-50V-0.01UF-603                          C36   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C9   CAP-50V-0.01UF-603                           C9   CAP-0.01UF-10V-0306-10%-0306ZC103KAT2A
C5   CAP-50V-15PF-0603                            C5   CAP-15PF-50V-0603-0.5%-C0603C150D5GACTU
C6   CAP-50V-15PF-0603                            C6   CAP-15PF-50V-0603-0.5%-C0603C150D5GACTU
C243   CAP-CC05                                   C243   CAP-47UF-10V-1411-20%-T520B476M010ATE035
C248   CAP-CC05                                   C248   CAP-47UF-10V-1411-20%-T520B476M010ATE035
C250   CAP-CC05                                   C250   CAP-47UF-10V-1411-20%-T520B476M010ATE035
C251   CAP-CC05                                   C251   CAP-47UF-10V-1411-20%-T520B476M010ATE035
C177   CAP-TAN-16V-10UF                           C177   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C179   CAP-TAN-16V-10UF                           C179   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C181   CAP-TAN-16V-10UF                           C181   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C48   CAP-TAN-16V-10UF                            C48   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C129   CAP-TANLE-10V-10UF                         C129   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C130   CAP-TANLE-10V-10UF                         C130   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C166   CAP-TANLE-10V-10UF                         C166   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C169   CAP-TANLE-10V-10UF                         C169   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C172   CAP-TANLE-10V-10UF                         C172   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C185   CAP-TANLE-10V-10UF                         C185   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C197   CAP-TANLE-10V-10UF                         C197   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C198   CAP-TANLE-10V-10UF                         C198   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C199   CAP-TANLE-10V-10UF                         C199   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C200   CAP-TANLE-10V-10UF                         C200   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C201   CAP-TANLE-10V-10UF                         C201   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C202   CAP-TANLE-10V-10UF                         C202   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C33   CAP-TANLE-10V-10UF                          C33   CAP-10UF-16V-1206-10%-TAJA106K016RNJ
C14   CAP-TANLOESR-16V-100UF-2917                 C14   CAP-100UF-20V-2917-10%-TPSE107K020R0150
C174   CAP-TANLOESR-16V-100UF-2917                C174   CAP-100UF-20V-2917-10%-TPSE107K020R0150
C18   CAP-TANLOESR-16V-100UF-2917                 C18   CAP-100UF-20V-2917-10%-TPSE107K020R0150
C19   CAP-TANLOESR-16V-100UF-2917                 C19   CAP-100UF-20V-2917-10%-TPSE107K020R0150
C21   CAP-TANLOESR-16V-100UF-2917                 C21   CAP-100UF-20V-2917-10%-TPSE107K020R0150
C23   CAP-TANLOESR-16V-100UF-2917                 C23   CAP-100UF-20V-2917-10%-TPSE107K020R0150
C29   CAP-TANLOESR-16V-100UF-2917                 C29   CAP-100UF-20V-2917-10%-TPSE107K020R0150
C219   CAP_1000PF_50V_0603                        C219   CAP-1000PF-50V-0603-5%-C0603C102J5GACTU
C35   CAP_1000PF_50V_0603                         C35   CAP-1000PF-50V-0603-5%-C0603C102J5GACTU
C118   CAP_100NF_50V_0603                         C118   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C119   CAP_100NF_50V_0603                         C119   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C12   CAP_100NF_50V_0603                          C12   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C120   CAP_100NF_50V_0603                         C120   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C121   CAP_100NF_50V_0603                         C121   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C122   CAP_100NF_50V_0603                         C122   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C125   CAP_100NF_50V_0603                         C125   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C126   CAP_100NF_50V_0603                         C126   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C127   CAP_100NF_50V_0603                         C127   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C128   CAP_100NF_50V_0603                         C128   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C13   CAP_100NF_50V_0603                          C13   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C175   CAP_100NF_50V_0603                         C175   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
C194   CAP_100NF_50V_0603                         C194   CAP-0.1UF-50V-0603-10%-06035C104KAT2A
