Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 1128500  Y 1029500
X 1140000  Y 1025000
X 1174500  Y 1029500
X 1202500  Y 1025000
X 1220000  Y 1025000
X 1235000  Y 1025000
X 1250000  Y 1025000
X 1265000  Y 1025000
X 1280000  Y 1025000
X 1295000  Y 1025000
X 1325000  Y 1025000
X 1340000  Y 1025000
X 1355000  Y 1025000
X 1372500  Y 1025000
X 1387500  Y 1029000
X 1433000  Y 1030500
X 1452500  Y 1025000
X 1502500  Y 1025000
X 1520000  Y 1025000
X 1538000  Y 1033000
X 1479000  Y 1067000
X 1414000  Y 1127000
X 1414000  Y 1132000
X 1407000  Y 1132000
X 1407000  Y 1127000
X 1338000  Y 1067000
X 1337930  Y 1074600
X 1158000  Y 1126000
X 1158000  Y 1132000
X 1150000  Y 1132000
X 1150000  Y 1126000
X 1080500  Y 1068000
X 1080500  Y 1076000
X 1057500  Y 1202500
X 1067500  Y 1202500
X 1107500  Y 1192500
X 1109040  Y 1135470
X 1130000  Y 1192500
X 1140000  Y 1192500
X 1150000  Y 1192500
X 1160000  Y 1192500
X 1172300  Y 1192420
X 1182500  Y 1192500
X 1199160  Y 1192270
X 1240000  Y 1202500
X 1250000  Y 1202500
X 1317500  Y 1205000
X 1328000  Y 1205000
X 1352000  Y 1205000
X 1365000  Y 1192500
X 1377500  Y 1192500
X 1387500  Y 1192500
X 1397500  Y 1192500
X 1417500  Y 1192500
X 1427500  Y 1192500
X 1437500  Y 1192500
X 1447500  Y 1192500
X 1457500  Y 1192500
X 1492500  Y 1202500
X 1502500  Y 1202500
X 1502500  Y 1212500
X 1492500  Y 1212500
X 1482500  Y 1242500
X 1340000  Y 1242500
X 1328000  Y 1212500
X 1322500  Y 1257500
X 1317500  Y 1212500
X 1250000  Y 1212500
X 1240000  Y 1212500
X 1227500  Y 1242500
X 1082500  Y 1240000
X 1067500  Y 1212500
X 1057500  Y 1212500
X 1065000  Y 1260000
X 1082500  Y 1260000
X 1140000  Y 1277500
X 1140000  Y 1287500
X 1167500  Y 1277500
X 1167500  Y 1287500
X 1217500  Y 1285000
X 1227500  Y 1260000
X 1240000  Y 1285000
X 1242500  Y 1260000
X 1340000  Y 1262500
X 1395000  Y 1277500
X 1397500  Y 1287500
X 1425000  Y 1277500
X 1427500  Y 1287500
X 1482500  Y 1262500
X 1497500  Y 1262500
X 1364290  Y 1354760
X 1310200  Y 1365800
X 1308200  Y 1358900
X 1307580  Y 1350690
X 1300100  Y 1365600
X 1299800  Y 1358900
X 1290400  Y 1355200
X 1290200  Y 1360800
X 1290200  Y 1366000
X 1275000  Y 1382000
X 1268500  Y 1382000
X 1250000  Y 1374500
X 1250000  Y 1381500
X 1131000  Y 1356000
X 1112381  Y 1342297
X 1074200  Y 1347970
X 1072500  Y 1356500
X 1128000  Y 1428000
X 1134000  Y 1428000
X 1174000  Y 1402000
X 1186000  Y 1400000
X 1242000  Y 1396500
X 1258500  Y 1418500
X 1258500  Y 1431000
X 1304380  Y 1413710
X 1337810  Y 1413710
X 1380500  Y 1399600
X 1392000  Y 1407000
X 1398500  Y 1407000
X 1410500  Y 1414700
X 1488540  Y 1415720
X 1499500  Y 1423500
X 1507500  Y 1423500
X 1517500  Y 1431000
X 1571000  Y 1415500
X 1536080  Y 1467040
X 1454500  Y 1475000
X 1442000  Y 1474500
X 1428500  Y 1474500
X 1414000  Y 1474500
X 1396500  Y 1474500
X 1381000  Y 1474500
X 1364500  Y 1443000
X 1364500  Y 1452500
X 1364500  Y 1461500
X 1364500  Y 1474500
X 1351000  Y 1474500
X 1337500  Y 1461500
X 1337500  Y 1474500
X 1337500  Y 1452500
X 1337500  Y 1443000
X 1306500  Y 1461500
X 1306500  Y 1473500
X 1306500  Y 1451500
X 1306500  Y 1442000
X 1290500  Y 1473500
X 1274500  Y 1473500
X 1274500  Y 1451500
X 1274500  Y 1442000
X 1274500  Y 1461500
X 1258500  Y 1442000
X 1258500  Y 1462500
X 1258500  Y 1451500
X 1243000  Y 1462500
X 1172000  Y 1459000
X 1164000  Y 1470000
X 1156000  Y 1459000
X 1134000  Y 1449000

Drill: .03937  Tool: 3  Feed: 197  Speed: 550
X 1577949  Y 1152496
X 1577949  Y 1142496
X 1587949  Y 1152496
X 1587949  Y 1142496
X 1597949  Y 1152496
X 1597949  Y 1142496
X 1607949  Y 1152496
X 1607949  Y 1142496
X 1607949  Y 1167496
X 1607949  Y 1177496
X 1607949  Y 1202496
X 1607949  Y 1192496
X 1597949  Y 1177496
X 1597949  Y 1167496
X 1597949  Y 1202496
X 1597949  Y 1192496
X 1587949  Y 1177496
X 1587949  Y 1202496
X 1587949  Y 1192496
X 1587949  Y 1167496
X 1577949  Y 1192496
X 1577949  Y 1177496
X 1577949  Y 1202496
X 1577949  Y 1167496
X 1577949  Y 1227496
X 1577949  Y 1217496
X 1577949  Y 1250015
X 1577949  Y 1240015
X 1587949  Y 1217496
X 1587949  Y 1250015
X 1587949  Y 1227496
X 1587949  Y 1240015
X 1597949  Y 1250015
X 1597949  Y 1217496
X 1597949  Y 1240015
X 1597949  Y 1227496
X 1607949  Y 1240015
X 1607949  Y 1250015
X 1607949  Y 1217496
X 1607949  Y 1227496
X 1607949  Y 1260015
X 1607949  Y 1282496
X 1607949  Y 1272496
X 1607949  Y 1307496
X 1607949  Y 1297496
X 1597949  Y 1260015
X 1597949  Y 1282496
X 1597949  Y 1297496
X 1597949  Y 1307496
X 1597949  Y 1272496
X 1587949  Y 1272496
X 1587949  Y 1297496
X 1587949  Y 1307496
X 1587949  Y 1260015
X 1587949  Y 1282496
X 1577949  Y 1297496
X 1577949  Y 1260015
X 1577949  Y 1272496
X 1577949  Y 1282496
X 1577949  Y 1307496
X 1577949  Y 1332496
X 1577949  Y 1322496
X 1577949  Y 1357496
X 1577949  Y 1347496
X 1587949  Y 1322496
X 1587949  Y 1332496
X 1587949  Y 1357496
X 1587949  Y 1347496
X 1597949  Y 1322496
X 1597949  Y 1332496
X 1597949  Y 1347496
X 1597949  Y 1357496
X 1607949  Y 1332496
X 1607949  Y 1322496
X 1607949  Y 1357496
X 1607949  Y 1347496
X 1258500  Y 1382157
X 1258500  Y 1401842
X 1196190  Y 1369657
X 1196190  Y 1389342
X 1135500  Y 1369657
X 1135500  Y 1389342

Drill: .04291  Tool: 4  Feed: 139  Speed: 550
X 1021889  Y 1272591
X 1021889  Y 1282591
X 1021889  Y 1291095
X 1021889  Y 1301095
X 1015984  Y 1392788
X 1015984  Y 1402788
X 1015984  Y 1410504
X 1015984  Y 1420504

Drill: .07  Tool: 5  Feed: 81  Speed: 550
X 1476000  Y 1313800
X 1476000  Y 1328200
X 1534000  Y 1346800
X 1534000  Y 1378800
X 1534000  Y 1361200
X 1534000  Y 1393200
X 1476000  Y 1360200
X 1476000  Y 1345800

Drill: .094  Tool: 6  Feed: 66  Speed: 550
X 1348500  Y 1292000
X 1534500  Y 1197000
X 1534500  Y 1173000
X 1348500  Y 1315000
X 1019000  Y 1328500

Drill: .09843  Tool: 7  Feed: 66  Speed: 550
X 1597949  Y 1117496
X 1597949  Y 1382496

Drill: .15748  Tool: 8  Feed: 35  Speed: 900
X 1569271  Y 1040913
X 1595334  Y 1040913
X 1617500  Y 1040913
X 1617500  Y 1459040
X 1595334  Y 1459040
X 1569271  Y 1459040

End of Listing
