Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 1141000  Y 1123200
X 1138389  Y 1135110
X 1136500  Y 1123500
X 1134610  Y 1135110
X 1131400  Y 1136200
X 1129500  Y 1134000
X 1127500  Y 1137000
X 1125500  Y 1134000
X 1108000  Y 1123500
X 1075600  Y 1119800
X 1075000  Y 1114000
X 1040000  Y 1118000
X 1030000  Y 1136500
X 1034500  Y 1154500
X 1086500  Y 1148500
X 1086500  Y 1153000
X 1087000  Y 1157500
X 1087000  Y 1162000
X 1097000  Y 1162000
X 1097500  Y 1149000
X 1129252  Y 1162751
X 1129252  Y 1159602
X 1132401  Y 1162751
X 1132401  Y 1159602
X 1135551  Y 1162751
X 1138700  Y 1162751
X 1141850  Y 1162751
X 1141850  Y 1159602
X 1148000  Y 1156000
X 1151299  Y 1162751
X 1151299  Y 1159602
X 1154448  Y 1162751
X 1154448  Y 1159602
X 1157598  Y 1162751
X 1160748  Y 1162751
X 1163897  Y 1162751
X 1168500  Y 1161000
X 1192500  Y 1160000
X 1197500  Y 1160000
X 1224500  Y 1144000
X 1224500  Y 1155500
X 1235000  Y 1142000
X 1235500  Y 1154500
X 1235500  Y 1158500
X 1238500  Y 1156500
X 1239000  Y 1144000
X 1239000  Y 1162000
X 1266752  Y 1162751
X 1266752  Y 1159602
X 1269901  Y 1162751
X 1269901  Y 1159602
X 1270000  Y 1145000
X 1270000  Y 1154500
X 1273051  Y 1162751
X 1274600  Y 1154500
X 1275000  Y 1145100
X 1276200  Y 1162751
X 1279350  Y 1159602
X 1279350  Y 1162751
X 1279500  Y 1156000
X 1283100  Y 1152400
X 1285649  Y 1159602
X 1285649  Y 1162751
X 1286500  Y 1139000
X 1288799  Y 1159602
X 1288799  Y 1162751
X 1289600  Y 1154700
X 1290000  Y 1145100
X 1291500  Y 1157900
X 1291948  Y 1162751
X 1294500  Y 1145100
X 1294500  Y 1154500
X 1295000  Y 1159500
X 1295098  Y 1162751
X 1298248  Y 1162751
X 1298400  Y 1159500
X 1301397  Y 1162751
X 1301600  Y 1159500
X 1306500  Y 1161000
X 1316000  Y 1161000
X 1326000  Y 1160000
X 1330000  Y 1159800
X 1334500  Y 1159900
X 1355400  Y 1154200
X 1377500  Y 1147500
X 1378000  Y 1157000
X 1379500  Y 1152000
X 1381500  Y 1148500
X 1381500  Y 1154500
X 1382400  Y 1144700
X 1392400  Y 1142700
X 1392500  Y 1146500
X 1393000  Y 1138000
X 1395500  Y 1140500
X 1414930  Y 1146680
X 1426500  Y 1138800
X 1429400  Y 1148700
X 1429400  Y 1151200
X 1501410  Y 1140000
X 1540500  Y 1150500
X 1465850  Y 1169560
X 1430550  Y 1166470
X 1411000  Y 1171600
X 1404500  Y 1171600
X 1390590  Y 1168600
X 1341940  Y 1164480
X 1340000  Y 1170200
X 1332000  Y 1173000
X 1327500  Y 1172800
X 1325900  Y 1164600
X 1322000  Y 1178500
X 1316000  Y 1187000
X 1315900  Y 1165400
X 1312900  Y 1177500
X 1308500  Y 1173500
X 1308500  Y 1178500
X 1306500  Y 1182500
X 1306500  Y 1165500
X 1306500  Y 1187500
X 1301397  Y 1187948
X 1301397  Y 1172200
X 1301397  Y 1165901
X 1298248  Y 1175350
X 1298248  Y 1181649
X 1298248  Y 1169051
X 1298248  Y 1172200
X 1298248  Y 1165901
X 1295100  Y 1175500
X 1295100  Y 1172100
X 1295098  Y 1165901
X 1295098  Y 1169051
X 1295098  Y 1181649
X 1295098  Y 1187948
X 1295000  Y 1184500
X 1292200  Y 1169100
X 1291948  Y 1172200
X 1291948  Y 1184799
X 1291948  Y 1165901
X 1291948  Y 1175350
X 1291948  Y 1181649
X 1291948  Y 1187948
